
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 10206716 ;SP ;ADAMANTINA ;1 ;RUA PERU, N. 249, Apto 23, JD TRES MARIAS ;357.963,83;670.000,00;46.58;Sim;Apartamento, 0.00 de área total, 167.60 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10206716
 8787711630341 ;SP ;ADAMANTINA ;JARDIM EUROPA ;ESTRADA MUNICIPAL JOSE BOCARDI ADM-030, N. SN, CS 10 QD A ;128.630,96;180.000,00;28.54;Não;Casa, 62.57 de área total, 60.88 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711630341
 8444405322578 ;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;143.120,72;250.671,32;42.91;Não;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405322578
 10215795 ;SP ;AGUAS DE SANTA BARBARA ;THERMAS DE SANTA BARBARA ;RUA 161, N. 00, QD DV, LT 30, ESQUINA COM RUA 186 ;314.419,01;506.000,00;37.87;Sim;Casa, 0.00 de área total, 143.65 de área privativa, 432.60 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215795
 1444413926276 ;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO IGUAPE, N. 90, LT 21 QD 14 ;177.342,42;215.000,00;17.52;Não;Prédio, 78.55 de área total, 78.55 de área privativa, 1120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413926276
 8444415793220 ;SP ;AGUDOS ;PARQUE PAMPULHA ; RUA BUDAPEST, N. 110, LT C04 QD 36 ;96.592,92;163.000,00;40.75;Não;Casa, 48.01 de área total, 48.01 de área privativa, 192.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415793220
 1444407661258 ;SP ;AGUDOS ;RESIDENCIAL CENTENARIO PARK ;RUA RENE BACHI, N. S/N, LT 27 QD 02 ;125.884,66;200.000,00;37.06;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407661258
 8787714943618 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 75, 1466 ;165.000,00;165.000,00;0.00;Não;Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714943618
 10006343 ;SP ;ALVARES MACHADO ;BREJÃO ;ESTRADA VICINAL, N. SN, GLEBA 05, RANCHO S.R. STELLA ;579.300,20;1.150.000,00;49.63;Não;Imóvel rural, 0.00 de área total, 886.00 de área privativa, 20000.00 de área do terreno, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10006343
 8444412221811 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;AVENIDA JOSE DE  ALENCAR, N. 1053, ;74.484,62;140.000,00;46.80;Não;Casa, 0.00 de área total, 56.76 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412221811
 8444425272878 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA SUKEICHI SANO, N. SN, LOTE 01 QUADRA B ;45.601,48;78.500,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 141.76 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425272878
 8444427168164 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;AVENIDA CASTRO ALVES, N. 0, LT 43A, QD P ;33.111,90;57.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 154.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427168164
 8444427676801 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA VISCONDE TAUNAY, N. 0, LT 21B ;30.207,35;52.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427676801
 10283580 ;SP ;ALVARES MACHADO ;RESIDENCIAL MARCIA FERNANDES ;PROF MARIA HELENA FERNANDES ARAUJO, N. SN, QD E, LT 19 ;57.373,12;95.000,00;39.61;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 240.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10283580
 10283581 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SILVIO ROMERO, N. SN, QD E-1, LT 21 ;42.414,43;70.000,00;39.41;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 252.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10283581
 10283582 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA SILVIO ROMERO, N. SN, LT 20, QD E-1 ;42.414,43;70.000,00;39.41;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 252.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10283582
 8444427379521 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA HIRATA HIROSHI, N. 135, LOT 14B ;160.000,00;160.000,00;0.00;Não;Casa, 50.79 de área total, 50.79 de área privativa, 125.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427379521
 8444426871104 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA JOAO DE AZEVEDO SOARES, N. 77, LOTE 15B QUADRA O ;153.674,00;62.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426871104
 1444408024782 ;SP ;AMERICANA ;BALNEARIO SALTO GRANDE ;RUA MARANHAO, N. 1945, Apto 33, BLOCO 18 ;77.444,70;160.000,00;51.60;Não;Apartamento, 0.00 de área total, 49.39 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408024782
 8787702799614 ;SP ;AMERICANA ;JARDIM DOS LIRIOS ;RUA UIRAPURU, N. 445, Apto 24, BL L ;87.116,43;170.000,00;48.76;Não;Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702799614
 1444412467570 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;RUA BENEDITO COLLA (ANTIGA RUA 08), N. 181, LT 09 QD E ;560.135,54;1.034.000,00;45.83;Sim;Casa, 222.66 de área total, 222.66 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412467570
 10211751 ;SP ;AMERICANA ;VILA SANTA MARIA ;RUA FRANCA, N. 105 ;948.005,02;1.700.000,00;44.24;Sim;Casa, 0.00 de área total, 499.71 de área privativa, 660.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211751
 8787709407886 ;SP ;AMERICANA ;BALSA ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 04, BL I ;114.052,82;204.000,00;44.10;Não;Apartamento, 54.90 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709407886
 1444419447248 ;SP ;AMERICANA ;JARDIM BRASIL ;RUA JOSE MIGUEL AUGUSTTI, N. 375, LT 35A QD 1 ;379.524,80;650.000,00;41.62;Sim;Casa, 0.00 de área total, 218.16 de área privativa, 197.09 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419447248
 8444425615481 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 402, BL 17 ;101.926,27;172.000,00;40.75;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425615481
 8787708330804 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 26 VG 599 ;105.519,71;178.063,91;40.75;Não;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708330804
 8444430081848 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOAO BATISTA BAZANELLI, N. 251, Apto 24, BL 01 ;93.037,35;157.000,00;40.75;Não;Apartamento, 47.86 de área total, 42.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430081848
 8555536748775 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 204, BL 28 VG 654 ;101.333,68;171.000,00;40.75;Não;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536748775
 8787706256364 ;SP ;AMERICANA ;JARDIM SÃO LUIZ ;RUA SABEDORIA, N. 130, Apto 08, PAVIMENTO TERREO BLOCO 05 ;114.838,57;190.000,00;39.56;Não;Apartamento, 94.20 de área total, 44.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706256364
 8444418560103 ;SP ;AMERICANA ;VILA DAINESE ;RUA CAMAQUA, N. 304, Apto 22, ;117.860,63;195.000,00;39.56;Não;Apartamento, 121.86 de área total, 48.43 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418560103
 8444419731220 ;SP ;AMERICANA ;RECANTO ;AVENIDA BANDEIRANTES, N. 740, Apto 202, BL 5 ;142.249,67;226.000,00;37.06;Não;Apartamento, 66.95 de área total, 54.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419731220
 8787707633943 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 208, BL 14 ;120.368,60;176.000,00;31.61;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707633943
